food_name,calories,protein,fat,carbs,fiber,sugar,meal_type,cat
Peas And Mushrooms Cooked Made With Margarine,79.0,4.3,2.0,11.7,3.8,3.8,lunch,vegan
Onions Cooked Ns As To Form Made With Butter,41.0,0.8,1.7,6.4,1.8,2.8,lunch,vegan
Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,432.0,9.8,20.0,62.2,4.2,0.0,snacks,vegan
French Toast Whole Grain Reduced Fat,236.0,12.0,6.6,31.9,2.8,10.6,break-fast,vegan
Ice Cream Cones Sugar Rolled-Type,402.0,7.9,3.8,84.1,1.7,25.7,snacks,vegan
Peas Cowpeas Field Peas Or Blackeye Peas Not Dried Cooked From Canned Fat Added In Cooking Ns As To Type Of Fat,144.0,8.2,2.6,22.9,6.2,4.3,lunch,vegan
Babyfood Meat Lamb Junior,112.0,15.2,5.2,0.0,0.0,0.0,dinner,vegan
Campbells Chunky New England Clam Chowder,81.0,2.5,3.8,9.0,1.2,0.0,lunch,vegan
Sweeteners Tabletop Fructose Liquid,279.0,0.0,0.0,76.1,0.1,76.0,snacks,vegan
Corn Flour Masa Enriched White,363.0,8.5,3.7,76.6,6.4,1.6,lunch,vegan
Potato Salad With Egg Made With Light Mayonnaise,111.0,2.7,4.5,15.1,1.3,1.7,break-fast,vegan
Lima Beans Immature Seeds Frozen Baby Cooked Boiled Drained Without Salt,105.0,6.6,0.3,19.4,4.8,1.4,lunch,vegan
Yellow Cake With Chocolate Frosting,379.0,3.2,17.8,55.4,1.5,39.2,snacks,vegan
Broccoli Chinese Cooked From Frozen Made With Butter,57.0,1.1,4.8,3.6,2.3,0.8,lunch,vegan
Bagel Wheat,250.0,10.2,1.5,48.9,4.1,6.1,break-fast,vegan
Milk Dry Not Reconstituted Low Fat (1%),363.0,34.8,1.7,51.7,0.0,51.7,common,vegan
Snack Mixed Berry Bar,383.0,13.2,10.5,58.8,7.9,26.3,snacks,vegan
Pizza With Cheese And Extra Vegetables Medium Crust,220.0,9.2,8.2,27.6,2.2,3.4,break-fast,vegan
Spinach Canned Regular Pack Drained Solids,23.0,2.8,0.5,3.4,2.4,0.4,lunch,vegan
Rice With Beans And Pork,169.0,8.4,6.3,19.7,3.5,0.5,dinner,vegan
Cowpeas (Blackeyes) Immature Seeds Frozen Cooked Boiled Drained With Salt,131.0,8.5,0.7,23.5,6.4,4.5,lunch,vegan
Pimiento,28.0,1.4,0.4,6.2,2.3,3.3,lunch,vegan
Cereal Nestum,64.0,2.2,1.1,11.4,1.7,0.2,break-fast,vegan
Chocolate Milk Made From Sugar Free Syrup Ns As To Type Of Milk,50.0,3.2,2.0,6.0,0.4,4.5,snacks,vegan
Syrups Table Blends Pancake,234.0,0.0,0.0,61.5,0.0,21.5,break-fast,vegan
Apple Yogurt Dessert Baby Food Strained,96.0,0.8,1.6,19.5,0.5,12.0,snacks,vegan
Fruit Salad Fresh Or Raw Including Citrus  No Dressing,52.0,0.8,0.2,13.2,1.9,9.5,snacks,vegan
Dandelion Greens Cooked Ns As To Fat Added In Cooking,59.0,1.9,3.7,6.1,2.8,0.5,lunch,vegan
Bread Pumpkin,300.0,4.8,12.4,43.1,1.4,22.7,break-fast,vegan
Salsa Pico De Gallo,17.0,0.7,0.1,3.7,1.1,2.1,lunch,vegan
Turnip Greens Cooked From Frozen Made With Margarine,43.0,3.2,2.1,4.8,3.3,0.7,lunch,vegan
Rice Bran Oil,884.0,0.0,100.0,0.0,0.0,0.0,common,vegan
Pizza Meat And Vegetable Topping Rising Crust Frozen Cooked,271.0,12.6,11.8,28.8,2.3,7.3,lunch,vegan
Cake Batter Raw Not Chocolate,281.0,3.9,11.1,41.4,0.6,21.9,snacks,vegan
Hopping John,126.0,7.0,1.8,20.2,3.0,1.8,dinner,vegan
Frankfurter Or Hot Dog Sandwich Fat Free Plain On White Bread,165.0,11.7,2.2,24.2,0.9,1.9,lunch,vegan
